subjectAuthorizedFormOfName,relationType,objectAuthorizedFormOfName,description,date,startDate,endDate,culture
"Sérgio Werneck",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Raul Belém",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Mauro Miranda",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Lézio Sathler",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Amaury Muller",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Francisco Diógenes",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Horácio Ferraz",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Cláudio Ávila",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Átila Lira",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Doreto Campanari",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Denisar Arneiro",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Dalton Canabrava",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Dirceu Carneiro",associativo,"Subcomissão da Questão Urbana e Transporte","Presidente da Subcomissão",,,,pt_BR
"Alvaro Antonio",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Affonso Camargo",associativo,"Subcomissão da Questão Urbana e Transporte","Suplente da Subcomissão",,,,pt_BR
"Luiz Marques",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"Sérgio Naya",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"Paulo Zarzur",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"Noel de Carvalho",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"Myriam Portella",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"Lael Varella",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"Assis Canuto",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"Gidel Dantas",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"Gerson Marcondes",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"Expedito Júnior",associativo,"Subcomissão da Questão Urbana e Transporte","Titular da Subcomissão",,,,pt_BR
"José Ulisses de Oliveira",associativo,"Subcomissão da Questão Urbana e Transporte","Relator da Subcomissão",,,,pt_BR
"Luis Roberto Ponte",associativo,"Subcomissão da Questão Urbana e Transporte","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Manoel Castro",associativo,"Subcomissão da Questão Urbana e Transporte","1° Vice-Presidente da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"Orlando Bezerra","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Orlando Bezerra","Titular da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Orlando Bezerra","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Orlando Bezerra","Suplente da Comissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Orlando Pacheco","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"Orlando Pacheco","1° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Orlando Pacheco","Suplente da Comissão",,,,pt_BR
"Subcomissão da Família do Menor e do Idoso",associativo,"Orlando Pacheco","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Oscar Corrêa","Presidente da Comissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Oscar Corrêa","Suplente da Comissão",,,,pt_BR
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"Oscar Corrêa","Suplente da Subcomissão",,,,pt_BR
"Féres Nader",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Genebaldo Correia",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"José Freire",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Luiz Viana Neto",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Maguito Vilela",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Moysés Pimentel",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Francisco Benjamim",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Albérico Cordeiro",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Joaquim Francisco",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"João Castelo",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Ruy Nedel",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Nilson Gibson",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Percival Muniz",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Roberto Rollemberg",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Tadeu França",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Valter Pereira",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Paulo Ramos",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Oscar Corrêa",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Agripino de Oliveira Lima",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Suplente da Subcomissão",,,,pt_BR
"Evaldo Gonçalves",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Olavo Pires",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","1° Vice-Presidente da Subcomissão",,,,pt_BR
"Alércio Dias",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Nelton Friedrich",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Relator da Subcomissão",,,,pt_BR
"Mário Covas",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Antero de Barros",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Antônio Britto",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Euclides Scalco",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Alair Ferreira",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Fausto Fernandes",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Presidente da Subcomissão",,,,pt_BR
"Artenir Werner",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Moema São Thiago",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Felipe Cheidde",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Mário de Oliveira",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Osmir Lima",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Edivaldo Motta",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Etevaldo Nogueira",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"José Camargo",associativo,"Subcomissão de Garantia da Constituição Reformas e Emendas","Titular da Subcomissão",,,,pt_BR
"Francisco Dornelles",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Presidente da Comissão",,,,pt_BR
"Osmundo Rebouças",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","1º Vice-Presidente da Comissão",,,,pt_BR
"Ivo Vanderlinde",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","2º Vice Presidente da Comissão",,,,pt_BR
"José Serra",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Relator da Comissão",,,,pt_BR
"Affonso Camargo",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Carlos Alberto De'Carli",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Cid Sabóia de Carvalho",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Gerson Camata",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Jutahy Magalhães",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Airton Sandoval",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Basílio Villani",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Carrel Benevides",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Darcy Deitos",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Domingos Juvenil",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Fernando Bezerra Coelho",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Fernando Gasparian",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Firmo de Castro",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Geraldo Fleming",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Harlan Gadelha",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Irajá Rodrigues",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"João Carlos Bacelar",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"João Natal",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"José Carlos Vasconcellos",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"José Guedes",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Jovanni Masini",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Lézio Sathler",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Márcio Braga",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Mauro Campos",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Naphtali Alves de Souza",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Nion Albernaz",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Rose de Freitas",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Sérgio Spada",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Sérgio Werneck",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Walmor de Luca",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Wilson Campos",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Benito Gama",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Divaldo Suruagy",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Flávio Rocha",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Furtado Leite",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Ivan Bonato",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Jessé Freire",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Jesus Tajra",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"João Alves",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"João Machado Rollemberg",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"José Tinoco",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Messias Góis",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Mussa Demes",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Pedro Ceolin",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Simão Sessim",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Vieira da Silva",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"José Luiz Maia",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"João Castelo",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Ruberval Pilotto",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Adhemar de Barros Filho",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Adroaldo Streck",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Féres Nader",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Fábio Raunheitti",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Roberto Torres",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Luiz Gushiken",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Virgílio Guimarães",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"José Luiz de Sá",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"José Maria Eymael",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Titular da Comissão",,,,pt_BR
"Aluízio Bezerra",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"João Calmon",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Joaquim Sucena",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"José Melo",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"José Tavares",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Julio Costamilan",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Luiz Freire",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Marcio Lacerda",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Mendes Canale",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Nabor Júnior",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Manoel Ribeiro",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Maurício Fruet",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Mauro Sampaio",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Nilso Sguarezi",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Alexandre Puzyna",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Antônio Gaspar",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Expedito Machado",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Fernando Gomes",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Geraldo Bulhões",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Gerson Marcondes",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Gil César",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Hélio Rosas",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Hermes Zaneti",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Ismael Wanderley",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Ivo Cersósimo",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Joaci Góes",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Osvaldo Sobrinho",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Paes de Andrade",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Paulo Almada",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Paulo Roberto",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Rubem Branquinho",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Ruben Figueiró",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Sérgio Naya",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Virgildásio de Senna",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Alexandre Costa",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Alysson Paulinelli",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Gilson Machado",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Ângelo Magalhães",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Antonio Ferreira",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",null,,,pt_BR
"Gandi Jamil",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Homero Santos",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Iberê Ferreira",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Jayme Santana",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"João Lobo",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Gilson Machado",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Orlando Bezerra",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Osmar Leitão",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Victor Fontana",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Vitor Trovão",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Waldeck Ornélas",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Delfim Netto",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Osvaldo Bender",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Roberto Campos",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Telmo Kirst",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"José Maurício",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Cesar Maia",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Noel de Carvalho",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Carlos Alberto",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Roberto Jefferson",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Irma Passoni",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Olívio Dutra",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Afif Domingos",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Edmilson Valentim",associativo,"Comissão do Sistema Tributário Orçamento e Finanças","Suplente da Comissão",,,,pt_BR
"Carlos Alberto",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Marcio Lacerda",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Mendes Canale",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Nabor Júnior",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Alexandre Puzyna",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Ivo Cersósimo",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Joaquim Sucena",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Alysson Paulinelli",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Ângelo Magalhães",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Iberê Ferreira",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Roberto Campos",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Noel de Carvalho",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"José Luiz de Sá",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Titular da Subcomissão",,,,pt_BR
"Irma Passoni",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Julio Costamilan",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Luiz Freire",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Maurício Fruet",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Mauro Sampaio",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Nilso Sguarezi",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Ruben Figueiró",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Orlando Bezerra",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Waldeck Ornélas",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Telmo Kirst",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Suplente da Subcomissão",,,,pt_BR
"Adhemar de Barros Filho",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Titular da Subcomissão",,,,pt_BR
"Mussa Demes",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","1° Vice-Presidente da Subcomissão",,,,pt_BR
"José Maria Eymael",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","2° Vice-Presidente da Subcomissão",,,,pt_BR
"Fernando Bezerra Coelho",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Relator da Subcomissão",,,,pt_BR
"Affonso Camargo",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Titular da Subcomissão",,,,pt_BR
"Gerson Camata",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Titular da Subcomissão",,,,pt_BR
"Jutahy Magalhães",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Titular da Subcomissão",,,,pt_BR
"Airton Sandoval",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Titular da Subcomissão",,,,pt_BR
"Domingos Juvenil",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Titular da Subcomissão",,,,pt_BR
"Jesus Tajra",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Titular da Subcomissão",,,,pt_BR
"José Tinoco",associativo,"Subcomissão de Tributos Participação e Distribuição das Receitas","Titular da Subcomissão",,,,pt_BR
