subjectAuthorizedFormOfName,relationType,objectAuthorizedFormOfName,description,date,startDate,endDate,culture
"Subcomissão do Sistema Eleitoral e Partidos Políticos",associativo,"Airton Cordeiro","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Airton Sandoval","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Estados",associativo,"Airton Sandoval","Suplente da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"Airton Sandoval","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Airton Sandoval","Titular da Comissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Alair Ferreira","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"Alair Ferreira","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Alair Ferreira","Titular da Comissão",,,,pt_BR
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"Alair Ferreira","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Alarico Abib","Suplente da Comissão",,,,pt_BR
"Subcomissão de Defesa do Estado da Sociedade e de sua Segurança",associativo,"Alarico Abib","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Alarico Abib","Titular da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Alarico Abib","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Adhemar de Barros Filho","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Judiciário e do Ministério Público",associativo,"Adhemar de Barros Filho","Suplente da Subcomissão",,,,pt_BR
"Subcomissão de Tributos Participação e Distribuição das Receitas",associativo,"Adhemar de Barros Filho","Titular da Subcomissão",,,,pt_BR
"Comissão do Sistema Tributário Orçamento e Finanças",associativo,"Adhemar de Barros Filho","Titular da Comissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Adylson Motta","2° Vice-Presidente da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Adylson Motta","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização do Estado",associativo,"Aécio de Borba","Suplente da Comissão",,,,pt_BR
"Subcomissão dos Municípios e Regiões",associativo,"Aécio de Borba","Suplente da Subcomissão",,,,pt_BR
"Comissão da Família da Educação Cultura e Esportes da Ciência e Tecnologia e da Comunicação",associativo,"Aécio de Borba","Titular da Comissão",,,,pt_BR
"Subcomissão da Educação Cultura e Esportes",associativo,"Aécio de Borba","1° Vice-Presidente da Subcomissão",,,,pt_BR
"Comissão da Soberania e dos Direitos e Garantias do Homem e da Mulher",associativo,"Albérico Cordeiro","Titular da Comissão",,,,pt_BR
"Subcomissão dos Direitos Políticos dos Direitos Coletivos e das Garantias",associativo,"Albérico Cordeiro","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Albérico Cordeiro","Suplente da Comissão",,,,pt_BR
"Subcomissão de Garantia da Constituição Reformas e Emendas",associativo,"Albérico Cordeiro","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Albérico Filho","Titular da Comissão",,,,pt_BR
"Subcomissão do Poder Executivo",associativo,"Albérico Filho","Presidente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Albérico Filho","Suplente da Comissão",,,,pt_BR
"Subcomissão de Saúde Seguridade e do Meio Ambiente",associativo,"Albérico Filho","Suplente da Subcomissão",,,,pt_BR
"Comissão da Organização dos Poderes e Sistema de Governo",associativo,"Alceni Guerra","Suplente da Comissão",,,,pt_BR
"Subcomissão do Poder Legislativo",associativo,"Alceni Guerra","Suplente da Subcomissão",,,,pt_BR
"Comissão da Ordem Social",associativo,"Alceni Guerra","Titular da Comissão",,,,pt_BR
"Subcomissão dos Negros, Populações Indígenas, Pessoas Deficientes e Minorias",associativo,"Alceni Guerra","Relator da Subcomissão",,,,pt_BR
"Comissão da Ordem Econômica",associativo,"Aldo Arantes","Titular da Comissão",,,,pt_BR
"Subcomissão da Política Agrícola e Fundiária e da Reforma Agrária",associativo,"Aldo Arantes","Titular da Subcomissão",,,,pt_BR
"Comissão da Organização Eleitoral Partidária e Garantia das Instituições",associativo,"Alércio Dias","Titular da Comissão",,,,pt_BR
